year,population
1950,2557628654
1951,2594919657
1952,2636732631
1953,2681994386
1954,2730149884
1955,2782001154
1956,2835182293
1957,2891211793
1958,2947979287
1959,3000544325
1960,3042828380
1961,3083799968
1962,3139919051
1963,3209631895
1964,3280981862
1965,3350186115
1966,3420416498
1967,3490051163
1968,3562007503
1969,3636825800
1970,3712338708
1971,3789941225
1972,3866158404
1973,3941664971
1974,4016159586
1975,4088619689
1976,4159715844
1977,4231636519
1978,4303675842
1979,4378583227
1981,4533807914
1982,4613830568
1983,4694935057
1984,4773643742
1985,4855387634
1986,4939332441
1987,5025796394
1988,5113007284
1989,5199760484
1990,5287166778
1991,5370142696
1992,5455057523
1993,5537583721
1994,5618516091
1995,5699516291
1996,5779912412
1997,5858582659
1998,5936039484
1999,6013121531
1980,4450924299
2000,6089810661
2001,6166582980
2002,6243351444
2003,6319822330
2004,6396726866
2005,6473525274
2006,6551256997
2007,6629668134
2008,6708196774
2009,6786381274
2010,6863770931
2011,6940712355
2012,7017543964
2013,7095217980
2014,7172800105
2015,7250104524
2016,7327047197
2017,7403533981
2018,7479340547
2019,7554324522
2020,7628361509
2021,7701503831
2022,7773787217
2023,7845094405
2024,7915343988
2025,7984471678
2026,8052555718
2027,8119653594
2028,8185704067
2029,8250680127
2030,8314556118
2031,8377397726
2032,8439275616
2033,8500179665
2034,8560091213
2035,8618975745
2036,8676879132
2037,8733854464
2038,8789875606
2039,8844910290
2040,8898921851
2041,8951939549
2042,9003999017
2043,9055061670
2044,9105083460
2045,9154029673
2046,9201933427
2047,9248825693
2048,9294674737
2049,9339454816
