country,series,x,y
United States of America,total_carbon,1971,4291
United States of America,total_carbon,1972,4532
United States of America,total_carbon,1973,4698
United States of America,total_carbon,1974,4548
United States of America,total_carbon,1975,4361
United States of America,total_carbon,1976,4628
United States of America,total_carbon,1977,4817
United States of America,total_carbon,1978,4834
United States of America,total_carbon,1979,4869
United States of America,total_carbon,1980,4662
United States of America,total_carbon,1981,4596
United States of America,total_carbon,1982,4365
United States of America,total_carbon,1983,4335
United States of America,total_carbon,1984,4522
United States of America,total_carbon,1985,4546
United States of America,total_carbon,1986,4522
United States of America,total_carbon,1987,4669
United States of America,total_carbon,1988,4879
United States of America,total_carbon,1989,4937
United States of America,total_carbon,1990,4869
United States of America,total_carbon,1991,4835
United States of America,total_carbon,1992,4890
United States of America,total_carbon,1993,5007
United States of America,total_carbon,1994,5088
United States of America,total_carbon,1995,5139
United States of America,total_carbon,1996,5304
United States of America,total_carbon,1997,5482
United States of America,total_carbon,1998,5479
United States of America,total_carbon,1999,5506
United States of America,total_carbon,2000,5698
United States of America,total_carbon,2001,5678
United States of America,total_carbon,2002,5605
United States of America,total_carbon,2003,5680
United States of America,total_carbon,2004,5764
United States of America,total_carbon,2005,5772
United States of America,total_carbon,2006,5685
United States of America,total_carbon,2007,5763
United States of America,total_carbon,2008,5587
United States of America,total_carbon,2009,5185
United States of America,total_carbon,2010,5369
United States of America,coal,1971,1079
United States of America,coal,1972,1143
United States of America,coal,1973,1210
United States of America,coal,1974,1203
United States of America,coal,1975,1196
United States of America,coal,1976,1274
United States of America,coal,1977,1323
United States of America,coal,1978,1308
United States of America,coal,1979,1387
United States of America,coal,1980,1401
United States of America,coal,1981,1480
United States of America,coal,1982,1416
United States of America,coal,1983,1491
United States of America,coal,1984,1575
United States of America,coal,1985,1626
United States of America,coal,1986,1591
United States of America,coal,1987,1662
United States of America,coal,1988,1743
United States of America,coal,1989,1758
United States of America,coal,1990,1797
United States of America,coal,1991,1784
United States of America,coal,1992,1788
United States of America,coal,1993,1837
United States of America,coal,1994,1842
United States of America,coal,1995,1896
United States of America,coal,1996,1972
United States of America,coal,1997,2058
United States of America,coal,1998,2038
United States of America,coal,1999,2021
United States of America,coal,2000,2125
United States of America,coal,2001,2127
United States of America,coal,2002,2041
United States of America,coal,2003,2078
United States of America,coal,2004,2103
United States of America,coal,2005,2124
United States of America,coal,2006,2093
United States of America,coal,2007,2118
United States of America,coal,2008,2086
United States of America,coal,2009,1832
United States of America,coal,2010,1941
United States of America,oil,1971,2023
United States of America,oil,1972,2188
United States of America,oil,1973,2295
United States of America,oil,1974,2194
United States of America,oil,1975,2108
United States of America,oil,1976,2277
United States of America,oil,1977,2439
United States of America,oil,1978,2467
United States of America,oil,1979,2388
United States of America,oil,1980,2181
United States of America,oil,1981,2061
United States of America,oil,1982,1970
United States of America,oil,1983,1925
United States of America,oil,1984,1967
United States of America,oil,1985,1976
United States of America,oil,1986,2046
United States of America,oil,1987,2071
United States of America,oil,1988,2154
United States of America,oil,1989,2152
United States of America,oil,1990,2042
United States of America,oil,1991,1996
United States of America,oil,1992,2015
United States of America,oil,1993,2048
United States of America,oil,1994,2098
United States of America,oil,1995,2054
United States of America,oil,1996,2121
United States of America,oil,1997,2172
United States of America,oil,1998,2210
United States of America,oil,1999,2244
United States of America,oil,2000,2281
United States of America,oil,2001,2319
United States of America,oil,2002,2292
United States of America,oil,2003,2365
United States of America,oil,2004,2427
United States of America,oil,2005,2433
United States of America,oil,2006,2389
United States of America,oil,2007,2363
United States of America,oil,2008,2216
United States of America,oil,2009,2091
United States of America,oil,2010,2117
United States of America,natural_gas,1971,1190
United States of America,natural_gas,1972,1202
United States of America,natural_gas,1973,1192
United States of America,natural_gas,1974,1151
United States of America,natural_gas,1975,1056
United States of America,natural_gas,1976,1077
United States of America,natural_gas,1977,1055
United States of America,natural_gas,1978,1059
United States of America,natural_gas,1979,1094
United States of America,natural_gas,1980,1080
United States of America,natural_gas,1981,1055
United States of America,natural_gas,1982,980
United States of America,natural_gas,1983,919
United States of America,natural_gas,1984,980
United States of America,natural_gas,1985,944
United States of America,natural_gas,1986,885
United States of America,natural_gas,1987,936
United States of America,natural_gas,1988,983
United States of America,natural_gas,1989,1027
United States of America,natural_gas,1990,1011
United States of America,natural_gas,1991,1029
United States of America,natural_gas,1992,1057
United States of America,natural_gas,1993,1093
United States of America,natural_gas,1994,1116
United States of America,natural_gas,1995,1160
United States of America,natural_gas,1996,1184
United States of America,natural_gas,1997,1223
United States of America,natural_gas,1998,1203
United States of America,natural_gas,1999,1208
United States of America,natural_gas,2000,1255
United States of America,natural_gas,2001,1200
United States of America,natural_gas,2002,1239
United States of America,natural_gas,2003,1205
United States of America,natural_gas,2004,1207
United States of America,natural_gas,2005,1190
United States of America,natural_gas,2006,1175
United States of America,natural_gas,2007,1253
United States of America,natural_gas,2008,1260
United States of America,natural_gas,2009,1235
United States of America,natural_gas,2010,1282
China,total_carbon,1971,810
China,total_carbon,1972,862
China,total_carbon,1973,896
China,total_carbon,1974,915
China,total_carbon,1975,1062
China,total_carbon,1976,1105
China,total_carbon,1977,1250
China,total_carbon,1978,1410
China,total_carbon,1979,1431
China,total_carbon,1980,1420
China,total_carbon,1981,1407
China,total_carbon,1982,1466
China,total_carbon,1983,1541
China,total_carbon,1984,1679
China,total_carbon,1985,1727
China,total_carbon,1986,1831
China,total_carbon,1987,1969
China,total_carbon,1988,2118
China,total_carbon,1989,2199
China,total_carbon,1990,2244
China,total_carbon,1991,2361
China,total_carbon,1992,2469
China,total_carbon,1993,2670
China,total_carbon,1994,2781
China,total_carbon,1995,3022
China,total_carbon,1996,3196
China,total_carbon,1997,3133
China,total_carbon,1998,3197
China,total_carbon,1999,3091
China,total_carbon,2000,3077
China,total_carbon,2001,3124
China,total_carbon,2002,3348
China,total_carbon,2003,3870
China,total_carbon,2004,4593
China,total_carbon,2005,5103
China,total_carbon,2006,5645
China,total_carbon,2007,6072
China,total_carbon,2008,6549
China,total_carbon,2009,6846
China,total_carbon,2010,7259
China,coal,1971,678
China,coal,1972,710
China,coal,1973,722
China,coal,1974,715
China,coal,1975,838
China,coal,1976,842
China,coal,1977,964
China,coal,1978,1097
China,coal,1979,1123
China,coal,1980,1125
China,coal,1981,1129
China,coal,1982,1194
China,coal,1983,1266
China,coal,1984,1398
China,coal,1985,1448
China,coal,1986,1530
China,coal,1987,1655
China,coal,1988,1782
China,coal,1989,1854
China,coal,1990,1914
China,coal,1991,2003
China,coal,1992,2087
China,coal,1993,2239
China,coal,1994,2353
China,coal,1995,2563
China,coal,1996,2702
China,coal,1997,2602
China,coal,1998,2641
China,coal,1999,2494
China,coal,2000,2451
China,coal,2001,2481
China,coal,2002,2664
China,coal,2003,3121
China,coal,2004,3726
China,coal,2005,4197
China,coal,2006,4666
China,coal,2007,5033
China,coal,2008,5460
China,coal,2009,5720
China,coal,2010,6014
China,oil,1971,124
China,oil,1972,142
China,oil,1973,163
China,oil,1974,186
China,oil,1975,207
China,oil,1976,243
China,oil,1977,262
China,oil,1978,287
China,oil,1979,280
China,oil,1980,267
China,oil,1981,254
China,oil,1982,248
China,oil,1983,250
China,oil,1984,256
China,oil,1985,257
China,oil,1986,278
China,oil,1987,290
China,oil,1988,311
China,oil,1989,319
China,oil,1990,305
China,oil,1991,330
China,oil,1992,354
China,oil,1993,401
China,oil,1994,398
China,oil,1995,427
China,oil,1996,458
China,oil,1997,489
China,oil,1998,515
China,oil,1999,553
China,oil,2000,577
China,oil,2001,589
China,oil,2002,626
China,oil,2003,685
China,oil,2004,791
China,oil,2005,818
China,oil,2006,872
China,oil,2007,906
China,oil,2008,935
China,oil,2009,958
China,oil,2010,1026
China,natural_gas,1971,7
China,natural_gas,1972,9
China,natural_gas,1973,12
China,natural_gas,1974,15
China,natural_gas,1975,17
China,natural_gas,1976,20
China,natural_gas,1977,24
China,natural_gas,1978,27
China,natural_gas,1979,28
China,natural_gas,1980,28
China,natural_gas,1981,25
China,natural_gas,1982,24
China,natural_gas,1983,24
China,natural_gas,1984,25
China,natural_gas,1985,22
China,natural_gas,1986,24
China,natural_gas,1987,24
China,natural_gas,1988,25
China,natural_gas,1989,26
China,natural_gas,1990,26
China,natural_gas,1991,27
China,natural_gas,1992,27
China,natural_gas,1993,30
China,natural_gas,1994,30
China,natural_gas,1995,32
China,natural_gas,1996,35
China,natural_gas,1997,41
China,natural_gas,1998,41
China,natural_gas,1999,44
China,natural_gas,2000,49
China,natural_gas,2001,54
China,natural_gas,2002,57
China,natural_gas,2003,64
China,natural_gas,2004,76
China,natural_gas,2005,88
China,natural_gas,2006,106
China,natural_gas,2007,134
China,natural_gas,2008,154
China,natural_gas,2009,169
China,natural_gas,2010,201
India,total_carbon,1971,200
India,total_carbon,1972,208
India,total_carbon,1973,208
India,total_carbon,1974,226
India,total_carbon,1975,241
India,total_carbon,1976,258
India,total_carbon,1977,263
India,total_carbon,1978,249
India,total_carbon,1979,270
India,total_carbon,1980,283
India,total_carbon,1981,315
India,total_carbon,1982,338
India,total_carbon,1983,361
India,total_carbon,1984,392
India,total_carbon,1985,411
India,total_carbon,1986,450
India,total_carbon,1987,482
India,total_carbon,1988,512
India,total_carbon,1989,549
India,total_carbon,1990,582
India,total_carbon,1991,624
India,total_carbon,1992,655
India,total_carbon,1993,680
India,total_carbon,1994,718
India,total_carbon,1995,777
India,total_carbon,1996,818
India,total_carbon,1997,862
India,total_carbon,1998,872
India,total_carbon,1999,939
India,total_carbon,2000,972
India,total_carbon,2001,984
India,total_carbon,2002,1015
India,total_carbon,2003,1041
India,total_carbon,2004,1117
India,total_carbon,2005,1165
India,total_carbon,2006,1256
India,total_carbon,2007,1362
India,total_carbon,2008,1439
India,total_carbon,2009,1564
India,total_carbon,2010,1626
India,coal,1971,143
India,coal,1972,146
India,coal,1973,144
India,coal,1974,162
India,coal,1975,176
India,coal,1976,190
India,coal,1977,190
India,coal,1978,169
India,coal,1979,185
India,coal,1980,195
India,coal,1981,220
India,coal,1982,236
India,coal,1983,252
India,coal,1984,274
India,coal,1985,284
India,coal,1986,311
India,coal,1987,333
India,coal,1988,351
India,coal,1989,373
India,coal,1990,396
India,coal,1991,428
India,coal,1992,450
India,coal,1993,469
India,coal,1994,489
India,coal,1995,517
India,coal,1996,543
India,coal,1997,569
India,coal,1998,566
India,coal,1999,605
India,coal,2000,624
India,coal,2001,642
India,coal,2002,658
India,coal,2003,674
India,coal,2004,742
India,coal,2005,787
India,coal,2006,849
India,coal,2007,930
India,coal,2008,985
India,coal,2009,1074
India,coal,2010,1097
India,oil,1971,56
India,oil,1972,61
India,oil,1973,62
India,oil,1974,62
India,oil,1975,63
India,oil,1976,66
India,oil,1977,70
India,oil,1978,77
India,oil,1979,83
India,oil,1980,85
India,oil,1981,91
India,oil,1982,98
India,oil,1983,103
India,oil,1984,111
India,oil,1985,119
India,oil,1986,127
India,oil,1987,136
India,oil,1988,146
India,oil,1989,159
India,oil,1990,166
India,oil,1991,172
India,oil,1992,178
India,oil,1993,184
India,oil,1994,200
India,oil,1995,224
India,oil,1996,239
India,oil,1997,251
India,oil,1998,262
India,oil,1999,287
India,oil,2000,302
India,oil,2001,294
India,oil,2002,304
India,oil,2003,313
India,oil,2004,315
India,oil,2005,310
India,oil,2006,336
India,oil,2007,356
India,oil,2008,377
India,oil,2009,385
India,oil,2010,416
India,natural_gas,1971,1
India,natural_gas,1972,1
India,natural_gas,1973,1
India,natural_gas,1974,2
India,natural_gas,1975,2
India,natural_gas,1976,2
India,natural_gas,1977,2
India,natural_gas,1978,3
India,natural_gas,1979,3
India,natural_gas,1980,3
India,natural_gas,1981,4
