countryname,kyototext
United States of America,"<h2>United States</h2><b>BLOC: Annex 1 Party / Umbrella Group</b><br /><br /><ul><li>Signed the Kyoto Protocol, not ratified, largest emitter of carbon</li><li>Against any climate negations unless Brazil, India, China, and South Africa are legally bound to reduce emissions as well.</li><li>Pledged a 17% reduction in emissions by 2020 from 2005, but the bill never passed through congress</li><li>Against any new protocol that legally binds nations to emission limits</li></ul>"
China,"<h2>China</h2><b>BLOC: Non-Annex 1 Party/BASIC</b><br /><br /><ul><li>Signed the Kyoto Protocol as second largest emitter, pushing strongly for a second commitment period</li><li>Non-binding pledge to cut carbon emitted by 40-45% of 2005 levels by 2020</li><li>In favor of allowing emissions to grow more slowly than economic growth</li><li>In favor of pushing developed nations to collectively reduce emissions by 40% of 1990 levels by 2020</li><li>Wants developed nations to commit 1% of GDP annually to help developing nations combat global warming</li></ul>"
India,"<h2>India</h2><b>BLOC: Non-Annex 1 Party /BASIC</b><br /><br /><ul><li>Signed the Kyoto Protocol, pushing strongly for a second commitment period</li> period</li><li>Non-binding pledge to cut carbon production intensity by 20-25% of 2005 levels by 2050</li><li>Strongly opposes all legally binding cuts</li><li>In favor of pushing developed nations to collectively reduce emissions by 40% of 1990 levels by 2020</li><li>Wants developed nations to commit 1% of GDP annually to help developing nations combat global warming</li><li>Agrees to sign a new pact only when per capita measures are used in setting standards</li></ul>"
Russia,<h2>Russia</h2><b>BLOC: Annex 1 Party / Umbrella Group</b><br /><br /><ul><li>Signed the Kyoto Protocol as the third largest emitter in the word</li>In favor of extending ratification and implementational deadlines</li><li>Non-binding pledge to cut carbon production intensity by 0% below 1990 levels</li><li>Strongly opposes second commitment period</li><li>Strongly opposes not having stricter limits and expectations from developing nations</li><li>Not in favor of pushing developed nations to collectively reduce emissions by 2020</li><li>Officially questioning the validity of global pacts to combat global warming</li></ul>
South Africa,"<h2>South Africa</h2><b>BLOC: Non-Annex 1 Party /BASIC/African Group</b><br /><br /><ul><li>Signed the Kyoto Protocol, pushing strongly for a deeper global commitment</li><li>Committed to an emissions trajectory that peaks at 34% below a ñBusiness as Usualî trajectory in 2020 and 40% in 2025</li><li>Pushing developed nations for $30 billion of fast-track funding through 2012 and to raise $100 billion annually by 2020 to help developing nations meet limits</li><li>In favor of pushing developed nations to collectively reduce emissions by 40% of 1990 levels by 2020</li><li>Primary lobbyist for the African Group of Nations</li></ul>"
Brazil,"<h2>Brazil</h2><b>BLOC: Non-Annex 1 Party /BASIC</b><br /><br /><ul><li>Signed the Kyoto Protocol, pushing strongly for a deeper global commitment</li><li>Committed to national greenhouse gas reduction target of between 36.1% and 38.9% of projected emissions by 2020</li><li>Most of Brazil's emissions are calculated from increasing deforestation</li><li>In favor of pushing developed nations to collectively reduce emissions by 40% of 1990 levels by 2020</li><li>In favor of adoption of voluntary commitments made by developing countries in the form of measurable, reportable and verifiable Nationally Appropriate Mitigation Actions</li></ul>"
Canada,"<h2>Canada</h2><b>BLOC: Annex 1 Party / Umbrella Group</b><br /><br /><ul><li>Signed the Kyoto Protocol, resigned from the agreement in 2011</li><li>Opposed to second commitment period</li><li>Opposed to allowing developing nations to have non-binding emission targets and basic monitoring responsibilities</li><li>Pledged to reduce carbon emissions by 6% initially, but conditioned on enforcing limits over developing nations as well</li><li>In favor of a more inclusive agreement, and a voluntary emissions reduction target of 17 per cent below 2005 levels by 2020.</li></ul>"
United Kingdom,"<h2>United Kingdom</h2><b>BLOC: Annex 1 Party / EU</b><br /><br /><ul><li>Signed the Kyoto Protocol as a block of 15 EU member nations, pushing strongly for a new global commitment that is legally binding</li><li>15 member nations of the EU must collectively cut emissions to 20% below 1990 levels before 2020</li><li>The EU nations will go up  to 30% reductions if other big emitters follow</li><li>In favor of pushing developed nations to collectively reduce emissions by 50%-80% of 1990 levels by 2050</li><li>In favor of a stronger new framework to be finalised by 2015 and implemented from 2020</li><li>The EU contributed $10 billion to fast track financing for developing nations to undertake emission reductions</ul>"
Germany,"<h2>Germany</h2><b>BLOC: Annex 1 Party / EU</b><br /><br /><ul><li>Signed the Kyoto Protocol as a block of 15 EU member nations, pushing strongly for a new global commitment that is legally binding</li><li>15 member nations of the EU must collectively cut emissions to 20% below 1990 levels before 2020</li><li>The EU nations will go up  to 30% reductions if other big emitters follow</li><li>In favor of pushing developed nations to collectively reduce emissions by 50%-80% of 1990 levels by 2050</li><li>In favor of a stronger new framework to be finalised by 2015 and implemented from 2020</li><li>The EU contributed $10 billion to fast track financing for developing nations to undertake emission reductions</ul>"
France,"<h2>France</h2><b>BLOC: Annex 1 Party / EU</b><br /><br /><ul><li>Signed the Kyoto Protocol as a block of 15 EU member nations, pushing strongly for a new global commitment that is legally binding</li><li>15 member nations of the EU must collectively cut emissions to 20% below 1990 levels before 2020</li><li>The EU nations will go up  to 30% reductions if other big emitters follow</li><li>In favor of pushing developed nations to collectively reduce emissions by 50%-80% of 1990 levels by 2050</li><li>In favor of a stronger new framework to be finalised by 2015 and implemented from 2020</li><li>The EU contributed $10 billion to fast track financing for developing nations to undertake emission reductions</ul>"
Spain,"<h2>Spain</h2><b>BLOC:Annex 1 Party / EU</b><br /><br /><ul><li>Signed the Kyoto Protocol as a block of 15 EU member nations, pushing strongly for a new global commitment that is legally binding</li><li>15 member nations of the EU must collectively cut emissions to 20% below 1990 levels before 2020</li><li>The EU nations will go up  to 30% reductions if other big emitters follow</li><li>In favor of pushing developed nations to collectively reduce emissions by 50%-80% of 1990 levels by 2050</li><li>In favor of a stronger new framework to be finalised by 2015 and implemented from 2020</li><li>The EU contributed $10 billion to fast track financing for developing nations to undertake emission reductions</ul>"
Australia,"<h2>Australia</h2><b>BLOC: Annex 1 Party / Umbrella Group</b><br /><br /><ul><li>Signed the Kyoto Protocol, ratified only in 2007</li><li>Extended the second commitment period of the Kyoto Protocol to 2020</li><li>Proposed an initial emission reduction of 60% by 2050, based on year 2000 levels but did not commit</li><li>Against further quantitative obligations until bigger emitters like USA and China agree to binding emission cuts</li><li>In favor of a more inclusive agreement, and stronger emissions reduction targets on all of the top emitters</li><li>Committed to limiting its greenhouse gas emissions from 2013 to 2020 with a Kyoto target of reducing emissions to 5% below 2000 levels by 2020</li></ul>"
Japan,"<h2>Japan</h2><b>BLOC: Annex 1 Party / Umbrella Group</b><br /><br /><ul><li>Signed the Kyoto Protocol</li><li>Opposed to second commitment period</li><li>Pledged to 25% reduction from 1990 levels by 2020, strongly criticised by local industies</li><li>Against further quantitative obligations until bigger emitters like USA and China agree to binding emission cuts</li><li>In favor of a more inclusive agreement, and stronger emissions reduction targets on all of the top emitters</li><li>Pledged to a 80% reduction in emission levels by 2050, endorses a global emissions reduction of 50% by 2050</li></ul>"
